,palette_number,page_number,likes,date_posted,block1,block2,block3,block4,block5,block6
444,22827,22,2,4 weeks ago,sea_lantern,polished_deepslate,stripped_spruce_log,spruce_log,cobbled_deepslate,spruce_planks
445,22826,22,12,4 weeks ago,green_terracotta,green_glazed_terracotta,oak_leaves,green_wool,green_concrete_powder,green_concrete
446,22825,22,4,4 weeks ago,birch_log,white_concrete,spruce_planks,diorite,bone_block,stripped_spruce_log
447,22824,22,2,4 weeks ago,quartz_pillar,amethyst_block,bookshelf,light_blue_glazed_terracotta,warped_planks,dark_oak_planks
448,22823,22,16,4 weeks ago,red_nether_bricks,deepslate_tiles,coal_block,black_glazed_terracotta,black_stained_glass,quartz_block
449,22822,22,8,4 weeks ago,stripped_spruce_log,green_terracotta,spruce_planks,cobblestone,gray_stained_glass,spruce_leaves
450,22821,22,4,4 weeks ago,tuff,gravel,andesite,deepslate,smooth_basalt,blackstone
451,22820,22,8,4 weeks ago,stripped_spruce_log,barrel,spruce_log,deepslate_tiles,cobbled_deepslate,deepslate
452,22819,22,9,4 weeks ago,bricks,andesite,gravel,spruce_planks,oak_log,mossy_cobblestone
453,22818,22,5,4 weeks ago,prismarine_bricks,sea_lantern,amethyst_block,deepslate_bricks,black_stained_glass,spruce_log
454,22817,22,5,1 month ago,cobblestone,cobbled_deepslate,dark_oak_log,deepslate_bricks,black_shulker_box,black_stained_glass
455,22816,22,8,1 month ago,oxidized_cut_copper,calcite,spruce_log,barrel,black_stained_glass,dark_oak_planks
456,22815,22,6,1 month ago,red_wool,red_concrete,red_nether_bricks,black_wool,coal_block,black_concrete
457,22814,22,1,1 month ago,acacia_log,stripped_warped_stem,cobbled_deepslate,shroomlight,quartz_block,diorite
458,22813,22,2,1 month ago,stripped_spruce_log,weathered_copper,polished_diorite,stone_bricks,polished_granite,dark_oak_planks
459,22812,22,4,1 month ago,oxidized_cut_copper,quartz_block,spruce_log,spruce_planks,white_concrete_powder,stripped_spruce_log
460,22811,22,13,1 month ago,barrel,spruce_log,stripped_spruce_log,spruce_planks,amethyst_block,polished_blackstone_bricks
461,22810,22,18,1 month ago,cyan_concrete,yellow_terracotta,purple_terracotta,cut_sandstone,stripped_oak_log,azalea_leaves
462,22809,23,5,1 month ago,dark_prismarine,prismarine_bricks,warped_planks,oxidized_cut_copper,oxidized_copper,sea_lantern
463,22808,23,2,1 month ago,white_stained_glass,white_glazed_terracotta,yellow_concrete,light_blue_concrete,birch_planks,light_blue_glazed_terracotta
464,22807,23,5,1 month ago,amethyst_block,polished_blackstone_bricks,calcite,cracked_deepslate_bricks,prismarine_bricks,basalt
465,22806,23,7,1 month ago,snow,calcite,polished_diorite,diorite,polished_andesite,polished_basalt
466,22805,23,12,1 month ago,spruce_log,white_terracotta,moss_block,barrel,redstone_lamp,spruce_planks
467,22804,23,9,1 month ago,spruce_planks,white_terracotta,moss_block,dark_oak_log,mossy_cobblestone,barrel
468,22803,23,11,1 month ago,spruce_planks,green_terracotta,mossy_cobblestone,moss_block,dark_oak_log,barrel
469,22802,23,2,1 month ago,light_blue_concrete,light_blue_stained_glass,pink_shulker_box,yellow_terracotta,honeycomb_block,pink_glazed_terracotta
470,22801,23,0,1 month ago,blue_glazed_terracotta,lapis_block,light_blue_concrete,chiseled_quartz_block,polished_andesite,chiseled_deepslate
471,22800,23,4,1 month ago,yellow_concrete,jungle_log,stripped_jungle_log,flowering_azalea_leaves,jungle_planks,magenta_terracotta
472,22799,23,2,1 month ago,amethyst_block,furnace,dark_oak_log,dark_oak_planks,blast_furnace,purple_wool
473,22798,23,8,1 month ago,mossy_cobblestone,moss_block,barrel,oak_log,smoker,oak_planks
474,22797,23,3,1 month ago,purpur_block,polished_diorite,polished_andesite,diorite,mossy_stone_bricks,polished_blackstone
475,22796,23,1,1 month ago,cobbled_deepslate,stripped_oak_log,oak_log,diorite,cobblestone,calcite
