,palette_number,likes,date_posted,username,block1,block2,block3,block4,block5,block6
21,2101,8,8 months ago,,nether_bricks,dark_oak_planks,red_concrete,glowstone,polished_blackstone_bricks,black_concrete
22,2201,25,8 months ago,Shari,calcite,quartz_block,dark_oak_planks,stone,spruce_log,basalt
23,2301,47,8 months ago,,quartz_bricks,red_terracotta,dark_oak_log,redstone_lamp,red_concrete,stripped_dark_oak_log
24,2401,1,8 months ago,,green_wool,dark_oak_log,bricks,yellow_wool,acacia_planks,basalt
25,2501,1,8 months ago,Ilyrazor,dark_oak_log,sandstone,oak_planks,light_gray_terracotta,polished_basalt,deepslate_bricks
26,2601,1,8 months ago,,gilded_blackstone,sea_lantern,deepslate_tiles,stripped_warped_stem,smooth_sandstone,gray_stained_glass
27,2701,10,8 months ago,,barrel,amethyst_block,calcite,stripped_spruce_log,spruce_planks,white_stained_glass
28,2801,3,8 months ago,Puppysprinkle,emerald_ore,green_wool,stone_bricks,green_concrete_powder,green_terracotta,moss_block
29,2901,10,8 months ago,,amethyst_block,prismarine,warped_planks,warped_wart_block,crimson_planks,oxidized_copper
30,3001,3,8 months ago,Anna,gray_wool,gray_concrete_powder,gray_concrete,spruce_log,spruce_planks,calcite
31,3101,13,8 months ago,Gobdob,deepslate_bricks,stone_bricks,cracked_stone_bricks,mossy_cobblestone,deepslate_tiles,mossy_stone_bricks
32,3201,3,7 months ago,Doveonearth,dark_oak_log,magenta_terracotta,stripped_crimson_stem,quartz_pillar,moss_block,pink_concrete
33,3301,3,7 months ago,,copper_block,deepslate_tiles,polished_diorite,spruce_log,spruce_planks,stripped_birch_log
34,3401,8,7 months ago,Adisjdmu,cracked_stone_bricks,stone_bricks,white_terracotta,spruce_planks,mossy_stone_bricks,spruce_log
35,3501,2,7 months ago,,birch_planks,pink_concrete,pink_stained_glass,white_concrete,magenta_concrete,calcite
36,3601,6,7 months ago,Dippo,polished_blackstone,smithing_table,red_terracotta,deepslate_tiles,redstone_lamp,terracotta
37,3701,6,7 months ago,Zurna,dark_oak_log,stripped_birch_log,oak_planks,gray_stained_glass,moss_block,barrel
38,3801,2,7 months ago,Caetrea,shroomlight,cut_copper,polished_andesite,nether_bricks,dark_oak_planks,polished_blackstone_bricks
39,3901,5,7 months ago,Ok,oak_log,spruce_planks,calcite,polished_diorite,stone_bricks,dark_oak_planks
40,4001,0,7 months ago,Rhythemlee,birch_log,amethyst_block,blue_terracotta,blue_ice,birch_planks,brown_mushroom_block
41,4101,1,7 months ago,,andesite,cobblestone,stone_bricks,stone,white_concrete,stripped_spruce_log
42,4201,3,7 months ago,,dark_oak_log,acacia_planks,pumpkin,dark_oak_planks,orange_terracotta,spruce_log
43,4301,4,7 months ago,,amethyst_block,deepslate_bricks,purple_terracotta,deepslate,basalt,magenta_stained_glass
44,4401,7,7 months ago,,bookshelf,spruce_planks,white_terracotta,spruce_log,brown_stained_glass,stripped_spruce_log
45,4501,1,7 months ago,,amethyst_block,stripped_birch_log,barrel,blue_terracotta,mushroom_stem,stripped_dark_oak_log
46,4601,1,7 months ago,,quartz_pillar,white_stained_glass,purpur_block,amethyst_block,warped_stem,mushroom_stem
47,4701,3,7 months ago,Transmutate,oxidized_copper,yellow_terracotta,brown_concrete,brown_glazed_terracotta,glowstone,stripped_warped_stem
48,4801,3,7 months ago,,iron_block,quartz_block,oxidized_copper,yellow_stained_glass,white_stained_glass,cyan_stained_glass
49,4901,3,6 months ago,Klienspokie,moss_block,calcite,diorite,oxidized_copper,stripped_birch_log,white_stained_glass
50,5001,4,6 months ago,,dark_oak_log,cobbled_deepslate,stone_bricks,cyan_terracotta,calcite,packed_ice
51,5101,3,6 months ago,,gray_concrete,spruce_log,red_stained_glass,white_concrete,stone_bricks,stone
52,5201,5,6 months ago,,cobbled_deepslate,cracked_deepslate_bricks,deepslate_bricks,stripped_spruce_log,spruce_planks,oxidized_copper
53,5301,3,6 months ago,,beehive,barrel,spruce_log,basalt,yellow_glazed_terracotta,deepslate_tiles
54,5401,1,6 months ago,AceOfSpiders,deepslate_gold_ore,cut_sandstone,deepslate_copper_ore,shroomlight,deepslate_bricks,honeycomb_block
55,5501,6,6 months ago,,spruce_log,stripped_spruce_log,spruce_planks,cobblestone,barrel,andesite
56,5601,7,6 months ago,,calcite,dark_oak_log,amethyst_block,basalt,barrel,dark_oak_planks
57,5701,1,6 months ago,,stripped_oak_log,stripped_birch_log,stripped_jungle_log,red_terracotta,stripped_acacia_log,orange_terracotta
58,5801,2,6 months ago,,black_concrete_powder,deepslate_bricks,shroomlight,amethyst_block,moss_block,deepslate_emerald_ore
59,5901,0,6 months ago,Emcra1d,stone_bricks,acacia_planks,moss_block,stone,sand,cyan_concrete_powder
60,6001,2,6 months ago,Pandraman,calcite,stripped_spruce_log,oak_log,barrel,green_concrete_powder,beehive
61,6101,1,6 months ago,,weathered_cut_copper,jungle_planks,nether_bricks,honeycomb_block,sandstone,calcite
62,6201,1,6 months ago,,sandstone,yellow_terracotta,acacia_log,smooth_sandstone,orange_terracotta,acacia_planks
63,6301,7,6 months ago,Phil,cobbled_deepslate,quartz_block,smooth_stone,white_concrete_powder,calcite,gray_concrete_powder
64,6401,0,6 months ago,,shroomlight,bone_block,amethyst_block,emerald_ore,red_mushroom_block,redstone_lamp
